darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl,p4_transl,eng_p4_transl
غيّر,modify,Change,Change,Change,Change,Change,change,Change,change
ختار,opt,Choose,Choose,Choose,Choose,Choose,choose,Choose,choose
أمر,command,Order,Order,Order,Order,Command,order,دير,order
متاتل,obey,"""Matatl"" translates to ""to kill"" in English.",To hesitate,To hesitate,To hesitate,To procrastinate,fall,Die,to hesitate
ستخرج,extract,You will go out.,You will go out.,To go out,to go out,Go out,to go out,Go out,to go out
عارض,counter,Oppose,Oppose,Oppose,Oppose,Oppose,oppose,Oppose,oppose
ستأنف,resume,Resume,Resume,Resume,To resume,Resume,resume,Resume,resume
شدّ,grasp,Pull,Pull,Pull,pull,Pull,pull,Pull,pull
ستوعب,grasp,Understand,Understand,Understand,Understand,Understand,understand,Understand,understand
تزعلل,swing,Get angry.,To get angry,To get angry.,To get angry,Get angry,get angry,Get angry,get angry
سلّم,render,Hand over,Deliver,Submit,deliver,Deliver,submit,Submit,deliver
زرب,speed,"""Zerbe""",To mix,To hit,To mix,Visit,hit,Hit,hit
واجه,confront,Face,Face,Face,Face,Face,face,Face,face
منع,ban,Prohibit,prevent,Prevent,prevent,Prevent,prevent,Prevent,prevent
مسح,wipe,Wipe,wipe,Wipe,wipe,Wipe,wipe,Delete,wipe
ضوبل,double,"""Doubled""",To hit,To hit,To hit,Study,swim,Study,hit
شتامل,comprise,"""Sh'tamel"" translates to ""I'm doing well"" in Moroccan Arabic.",To gather,To think,Include,Insult,to include,Insult,to include
شهد,witness,Witness,to witness,Witness,to witness,Witness,witness,Witness,witness
غرس,plant,Plant,plant,Plant,plant,Plant,plant,Plant,plant
جزم,assert,To argue,To decide,Dance,decide,dance,decide,dance,decide
كشف,disclose,Reveal,reveal,Reveal,reveal,reveal,reveal,reveal,reveal
عصر,squeeze,squeeze,squeeze,squeeze,squeeze,Cook,squeeze,squeeze,squeeze
بجغ,squeeze,bjgj,To bark,To search,To bark,Study,argue,بحث,argue
ربط,bind,Connect,tie,Connect,Tie,Connect,tie,Connect,tie
ضرّ,harm,Hurt,Harm,Harm,Harm,Harm,harm,Harm,harm
أدا,harm,To bring,To pay,To come,to pay,Sing,pay,Go,pay
تلاقا,encounter,Meet,Meet,Meet,meet,Meet,meet,Meet,meet
طلب,request,Ask,asked,Ask,ask,ask,ask,Ask,ask
عانا,struggle,Suffered,suffer,Suffered,Suffer,Suffer,suffer,Suffer,suffer
خدّم,hire,Work,work,Work,work,Work,work,Work,work
خبّا,conceal,Hide,Hide,Hide,Hide,Hide,hide,Hide,hide
خدّم,recruit,Work,Work,Work,Work,Work,work,Work,work
سرح,wander,Daydream,Daydream,Daydream,Daydream,Daydream,daydream,Travel,travel
شدّد,emphasize,To emphasize,To tighten or to strengthen,Emphasize,tighten,Emphasize,tighten,Strengthen,tighten
عبر,weigh,Express,To express,Pass,to express,Express,cross,Express,express
وزن,weigh,To weigh,To weigh,To weigh,To weigh,to weigh,to weigh,Cook,to weigh
تزامن,coincide,Synchronize,coincide,Coincide,coincide,coincide,coincide,coincide,coincide
حنا,bend,We,We,We,We,we,we,We,go
تنا,bend,To come,To sleep,To go,Sing,Go,sing,Eat,sing
نضّم,regulate,Organize,organize,Organize,Organize,organize,organize,organize,organize
نقد,rescue,Criticism,criticize,Critique,criticize,Critique,criticize,Critique,criticize
رفّه,entertain,Relax,Relax,To lift,To relax,Relax,relax,Relax,lift
توقّع,forecast,Expect,To expect/anticipate/predict.,Expect,Expect,Expect,expect,Expect,expect
فحص,inspect,Check,examine/inspect,Check,examine,Check,examine,Check,examine
صدّر,export,Export,Export,Export,Export,Export,export,export,export
لحّ,urge,To rub,To knead,To rub,Rub,Fight,boil,Rub,Rub.
ستنتج,induce,Produce,You will produce.,Produce,to deduce,produce,produce,Produce,produce
سدّ,lock,Block,block/obstruct,Block,Block,Block,block,Block,block
عرض,exhibit,Show,Present,Present,Present,Show,present,Show,present
سخّن,warm,Heat,Heat,Heat,Heat,Heat,heat,Heat,to heat
دفّا,warm,Warm,Warm up,Warm,Warm,Warm,warm,Warm,warm
عتارف,confess,Confess,To confess,Confess,Recognize,Confess,recognize,Confess,confess
سمح,forgive,"""Smah"" translates to ""allow"" in English.",Forgive,Allow,Allow,Allow,allow,Allow,allow
طمّر,tolerate,"""Tammar"" means ""to bury"" in Moroccan Arabic.",bury,Bury,To bury,Bury,bury,Bury,bury
تسلّق,mount,Climb,to climb,Climbing,Climb,Climb,climb,Climbing,climb
مسح,brush,Wipe,wipe,Wipe,wipe,Wipe,wipe,Wipe,wipe
نتج,reproduce,Produce,produce,Produce,produce,Produce,produce,Produce,produce
خضع,undergo,To undergo,Submit,To undergo,submit,Submit,submit,Submit,submit
بهر,impress,To impress,Sell,To dazzle,Sell,Impress,sell,Impress,sell
نخافض,decline,We go down.,We lower.,We lower.,To lower,We lower,lower,We lower,lower
فرك,rub,Rub,Rub,Rub,Rub,Rub,rub,Rub,rub
وكّل,cater,Delegate,Delegate,Delegate,Delegate,Delegate,entrust,Delegate,entrust
دار,tour,House,to do/ to make,To live,to do,live,do,Do,to live
وزّع,distribute,Distribute,Distribute,Distribute,Distribute,Distribute,distribute,Distribute,distribute
حسّ,sense,Feel,Feel,Feel,Feel,Feel,feel,Feel,feel
خلّص,repay,Finish,Finish,Finish,Finish,Finish,finish,Finish,finish
رجّع,regain,Return,Return,Return,return,Return,return,Return,return
ستعاد,regain,Will be returned,To repeat,To repeat,To repeat,Replay,recover,Repeat,return
قلّل,minimize,Reduce,reduce,Reduce,Reduce,Reduce,reduce,Reduce,reduce
وقّف,halt,Stop,Stop,Stop,Stop,Stop,stop,Stop,stop
شكّل,shape,Shape,To form/shape/constitute.,Form,To shape,Form,shape,Form,shape
زعج,disturb,Bother.,bother,Annoy,annoy,Annoy,annoy,Annoy,annoy
عضّ,bite,Bite,Bite,Bite,Bite,Bite,bite,Bite,bite
تقدّم,progress,To present,to advance; to progress; to apply,To present,to advance,apply,advance,apply,advance
كرّس,devote,"""Karras""",To concentrate/focus.,Dedicate,Consecrate,dedicate,dedicate,dedicate,dedicate
ستافزّ,provoke,Staffaz: to win or succeed.,You will win.,To provoke,Win,Winning,win,Winning,win
طمأن,reassure,Reassure,Assure/Reassure.,Assure,Assure,Assure,assure,Assure,assure
تأمّل,contemplate,Contemplate,Contemplate,Contemplate,Contemplate,Contemplate,contemplate,Contemplate,contemplate
حدّر,alert,To drag,To push or shove,To warn,Prepare,Travel,to drag,Predict,warn
تفاعل,interact,React,Interact,Interact,Interact,React,interact,Interact,interact
سخّن,heat,Heat,Heat,Heat,Heat,Heat,heat,Heat,to heat
بتاكر,devise,To take,To eat,To eat,To remember,Thank.,to remember,Eat,remember
حكم,govern,Rule,rule,To judge,rule,Judge,rule,Judge,rule
عانق,embrace,Hug,hug,Hug,hug,Hug,hug,Hug,hug
عزّا,comfort,To comfort,To honor/ to respect,To honor,to comfort,To support,console,Mourn,console
حجز,seize,Book,Book,Book,to book,Book,book,Book,book
دوّب,melt,"""Doubb""",To mix,To melt,Mix,Study,write,Write,write
زاد,supplement,Increase,increase,Increase,increase,Increase,increase,Increase,increase
تكّا,lean,Sit down.,Wait,Sit,sit,Cook,dance,Listen,sit
طبّق,exert,Cook,Apply,Apply,Apply,Apply,apply,Apply,apply
حتارس,beware,Hatars: to be careful or cautious.,To guard/protect.,To guard,To be careful,To guard,be careful,To guard,be careful
تشابه,resemble,Resemble,resemble,Resemble,resemble,Similarity,resemble,Similarity,resemble
منع,abolish,Prevent,prevent,Prevent,prevent,Prevent,prevent,Prevent,prevent
هرّس,crack,Grind,To chop or to mince,Mash,Grind,Mash,plow,Grind,grind
قمع,suppress,Suppress,Suppress,Suppress,repress,Suppress,suppress,Suppress,suppress
ڭابل,guard,Accept,Accept,Accept,Accept,Accept,accept,Accept,accept
فاجأ,surprise,Surprise,Surprise,Surprise,Surprise,Surprise,surprise,Surprise,surprise
تردّد,hesitate,Hesitate,hesitate,Hesitate,hesitate,Hesitate,hesitate,hesitate,hesitate
شحن,load,Top up,To charge,Recharge,Recharge,Charge,recharge,Recharge,recharge
سرط,swallow,"""Sart"" in Moroccan Arabic translates to ""to run"" in English.",To exaggerate,To steal,To joke,Steal,to steal,Laugh,run
بدا,initiate,Start,start/begin,Start,start,Start,start,start,begin
أتّر,effect,I'm coming.,To delay,To come,Wait,Eat,wait,Wait,wait
تحكّم,manipulate,Control,control,Control,control,Control,control,Control,control
ردع,deter,Deter,To scare,Deter,To deter,Deter,deter,Deter,deter
رتابط,associate,"I'm not sure what ""رتابط"" means in Moroccan Arabic. Can you provide more context or explain it further?",Communicate,To link,Communicate,Link,interact,Disconnect,interact
أدار,administer,To manage,Turned,To manage,to manage,Manage,to manage,Manage,to manage
قتل,murder,Kill,kill,Kill,to kill,kill,kill,Kill,kill
تابر,persist,"""Tabeer"" in Moroccan Arabic translates to ""interpret"" in English.",To endure,To endure,to endure,Travel,to endure,To help,to endure
حيّا,greet,Hello,Welcome,Live,to welcome,Welcome,welcome,Welcome,live
دمّع,tear,Cry,To tear up / to cry,To tear,to tear,Cry,tear,Cry,tear
طارد,hunt,Chase,chase,Chase,chase,Chase,chase,Chase,chase
فسد,spoil,Spoil,corrupt/ruin,Corrupt,corrupt,corrupt,corrupt,corrupt,corrupt
سطّر,line,Write,To write,Write,Write,Write,write,Write,write
بارك,bless,Congratulations,Congratulations,Congratulations,to bless,Celebrate,congratulate,Congratulations,congratulate
ختارق,penetrate,"""Khtarq"" doesn't have a direct translation in English, but it can be understood as ""to choose"" or ""to select"" in Moroccan Arabic.",To choose,To choose,To choose,Choose,drown,Choose,Escape
ضاعف,multiply,Double,Multiply,Double,double,Double,double,Double,double
دمج,merge,Merge,Merge,Merge,Merge,Merge,merge,Merge,merge
درّب,coach,Train,Train,Train,Train,Train,train,Train,train
جفّ,drain,Dry,dry,Dry,Dry,Dry,dry,Dry,dry
ستنزف,drain,You will bleed.,You will bleed.,To bleed,To bleed,Bleed,bleed,bleed,bleed
كفا,suffice,Enough,Enough,Stop.,Stop,Stop,stop,Stop,stop
فتارض,presume,To refuse,You will be pleased.,To accept,To accept,Refuse,agree,Refuse,agree
صيّد,fish,Hunt,Hunt,Hunt,hunt,Hunt,hunt,Catch,hunt
تقدّا,shop,To expect,To expect,Expect,to expect,Expect,expect,Can.,expect
تسابق,race,Race,Race,Race,race,Race,race,race,race
شرّف,honor,Honor,To honor/ to dignify,Honor,Honor,Honor,honor,Honor,honor
جمّد,freeze,Freeze,Freeze,Freeze,Freeze,Freeze,freeze,Freeze,freeze
داوا,cure,Treat,Treat,Treat,Treat,Try,treat,Try,treat
عالج,cure,Treat,Treat,Treat,Treat,Treat,treat,Treat,treat
تبادل,swap,Exchange,exchange,Exchange,exchange,Exchange,exchange,Exchange,exchange
تحمّل,endure,"To bear, to endure",To endure / to bear / to tolerate,Endure,to bear,Endure,endure,Download,bear
طارد,chase,Chase,chase,Chase,chase,Chase,chase,Chase,chase
ستهلك,consume,You will eat.,You will consume.,To consume,consume,Eat,consume,eat,consume
خشا,insert,Enter,Fear,Enter,Fear,Enter,fear,Enter,enter
تسنّا,await,Wait,We waited.,Wait,to wait,Wait,wait,Wait,wait
نجارف,drift,"""Njaref"" in Moroccan Arabic translates to ""to carpenter"" in English.",carpenter,Carpenter,to carpenter,carpenter,carve,to travel,repair
بدّل,substitute,Change,change,Change,change,Change,change,Change,change
ستسلم,surrender,You will deliver.,You will surrender.,To surrender.,To surrender,Deliver,to surrender,Deliver,surrender
زيّر,wind,To visit,Visit,Visit,Visit,Visit,visit,Visit,visit
قلّص,contract,Reduce,To reduce or decrease,Reduce,Reduce,Reduce,reduce,Reduce,Reduce
ميّز,differentiate,Differentiate,Distinguish,Distinguish,distinguish,Differentiate,distinguish,Differentiate,distinguish
علن,advertise,Announce,Declare,Announce,Declare,Declare,announce,announce,announce
صالح,reconcile,To fix/repair,To fix/repair.,To fix,Repair,Fix,repair,Fix,repair
تصوّر,project,Imagine,Imagine,Imagine,Imagine,Imagine,imagine,Imagine,imagine
نسّق,co-ordinate,Coordinate,Coordinate,Organize,Organize,Coordinate,organize,organize,organize
فرڭع,snap,"""Frnga"" translates to ""to argue"" in English.",To burp,To steal,To break.,Jump,jump,Jump,Jump
لعن,damn,Curse,Curse,Curse,curse,Curse,curse,Curse,curse
طيّب,bake,Okay,To make something good or to be good.,To be good,To make something good.,Okay,to make something good,Okay,to make something good
طوا,fold,To fold,To fold,Fold,Fold,Cook,fold,Cooking,Fold
تنازل,concede,To give up,To resign,To give up,to resign,Resign,resign,Resign,resign
جدّد,renew,Renew,Renew,Renew,Renew,Renew,renew,Renew,renew
صاغ,formulate,To formulate,to craft/ to forge,Craft,to craft,Craft,to forge,Craft,to forge
خلّط,confuse,Mix,Mix,Mix,Mix,Mix,mix,Mix,mix
حدّ,maximize,Limit,Limit,Limit,limit,Limit,speak,Limit,limit
مسح,sweep,Wipe,wipe,Wipe,wipe,Wipe,wipe,Wipe,wipe
وجّه,steer,Direct,Direct,Direct,Direct,Face,direct,Direct,direct
تساهل,indulge,To tolerate,To forgive,To tolerate,tolerate,To tolerate,tolerate,Ease,tolerate
خفّض,decrease,Reduce,Lower,Reduce,Lower,Reduce,lower,Reduce,lower
حجز,reserve,Book,Book,Book,to book,Book,book,Book,book
رزرڤا,reserve,"""Rzerva"" يعني ""to reserve"" في الدارجة المغربية.",To reserve,Save,To reserve,Reserve,reserve,Reserve,Reserve
ستقبل,host,You will receive.,You will receive.,Accept,to accept,Accept,receive,accept,receive
تطوّر,evolve,Evolve,evolve,Evolve,evolve,Develop,evolve,Develop,evolve
رعا,foster,To raise,To graze,Take care of,Take care.,Take care of,take care,Take care.,raise
عڭّز,discourage,To annoy,To annoy,To annoy,To encourage,Dance,to annoy,Hiking,teach
طوّق,curb,To choke,To choke,To put a collar on,To choke,Collar,to choke,Necklace,to surround
خصّص,dedicate,To allocate/assign.,To specialize or to allocate.,To allocate,dedicate,Allocate,dedicate,Allocate,dedicate
شرف,supervise,Honor,Honor,Honor,Honor,Honor,honor,Honor,honor
تلاشا,fade,Disappear,Search,Disappear,Search,Disappear,search,Disappear,search
دعم,endorse,Support,Support,Support,Support,Support,support,Support,support
أدان,condemn,Condemned,To condemn,Condemn,to condemn,condemn,condemn,condemn,to condemn
حجز,book,Book,book,Book,to book,Book,book,Book,book
صلح,reform,Fix,To fix/repair.,Repair,Fix,Fix,repair,Fix,repair
عاقب,punish,Punish,Punish,Punish,Punish,Punish,punish,Punish,punish
فرڭع,bang,"""Frgh"" doesn't have a direct translation in English, as it is a slang term in Moroccan Arabic. However, it can be roughly translated as ""to annoy"" or ""to bother.""",To burp,To jump,To break.,Jump,jump,Jump,Jump
ستعرض,outline,Will present,To present/To display,Present,to present,Show,to present,Show,to present
قلّل,diminish,Reduce,To reduce,Reduce,Reduce,Reduce,reduce,Reduce,reduce
ساد,prevail,"""Saad"" translates to ""to rule"" in English.",Lead,Rule,Help,Rule,lead,Lead,help
نقّز,leap,Jump,Jump,Jump,jump,Jump,jump,Jump,jump
لوا,wrap,To roll,To roll,To roll,To turn,Swim,to say,Read,turn
تفاهم,compromise,Understand,Understand,Understand,Understand,Understand,understand,Understand,understand
راب,collapse,Rap,To rap,Rap,To rap,Rap,rap,Rap,Wrap
حما,safeguard,Protect,Protect,Protect,Protect,Protect,protect,Protect,protect
منع,inhibit,Prohibit,prevent,Prevent,prevent,Prevent,prevent,Prevent,prevent
غوّت,scream,"""ghott"" means ""to pour"" in Moroccan Arabic.",To deceive,To swim,To swim,Go,to swim,Sing,to swim
تواعد,date,Date,To date/meet up.,To date,to date,dating,date,Date,date
مسح,delete,Wipe,wipe,Wipe,wipe,Wipe,wipe,Wipe,wipe
حقق,attain,Achieve,Achieve,Achieve,Achieve,Achieve,achieve,Achieve,achieve
كره,dislike,Hate,hate,Hate,hate,Hate,hate,Hate,hate
تصوّر,conceive,Imagine,Imagine,Imagine,Imagine,Imagine,imagine,Imagine,imagine
ملا,dictate,Eat,Fill,Fill,Fill,Fill,fill,Eat,fill
وحّد,unite,Unify,Unite,Unify,Unify,Unify,unify,Unify,unify
ستورد,import,Import,import,Import,import,Import,import,Import,import
بنا,rebuild,Build,Build,Build,build,Build,build,Build,build
زداهر,flourish,Zdaher,"This word does not exist in Moroccan Darija. It seems like a misspelling or a typo. If you provide more context or details, I can try to help you further.",To increase,to appear,Study,to encourage,Show,to appear
نتاقد,criticize,We criticize,We criticize,Critique,criticize,Critique,criticize,Critique,criticize
غلا,boil,Love,Love,Love,to love,Love,to be expensive,Love,love
غلا,inflate,Love,Love,Love,Love,Love,to be expensive,Love,love
هرب,flee,Escape,escape,Escape,escape,Escape,escape,Escape,escape
بدا,commence,Start,start/begin,Start,start,Start,begin,start,begin
مدح,praise,Praise,Praise,Praise,Praise,Praise,praise,Praise,praise
بلاصا,park,Sit down,"Please provide more context or a sentence using the word ""بلاصا"" so I can accurately translate it for you.",To replace,To please,Place,to replace,Place,to please
ميّز,discriminate,Differentiate,Distinguish/ differentiate.,Differentiate,distinguish,Differentiate,distinguish,Differentiate,distinguish
تبع,track,Follow,Follow,Follow,Follow,Follow,follow,Follow,follow
طوّق,enclose,To choke,To choke,To put a collar on,To choke,Collar,to choke,Necklace,to surround
قابل,interview,Meet,meet,Meet,meet,Meet,meet,meet,meet
شدّد,tighten,To tighten,To tighten or to strengthen,To tighten,tighten,Emphasize,tighten,Strengthen,strengthen
لوّن,color,Color,Color,Color,To color,Coloring,color,Color,color
غامر,venture,Risk,To dare,Risk,risk,Risk,to risk,Take risks.,risk
خمّن,speculate,Guess,Guess,Guess,Guess,Guess,guess,Guess,guess
قدّر,speculate,Appreciate,Appreciate/Value/Estimate,Appreciate,appreciate,Appreciate,estimate,Appreciate,estimate
غادر,depart,Leave,To leave,Leave,leave,Leave,leave,Leave,leave
قاطع,interrupt,Interrupt,Interrupt,Interrupt,Interrupt,Interrupt,interrupt,boycott,boycott
موّه,disguise,To deceive,To deceive,Deceive,Inspire,Inspire,deceive,Impress,deceive
نتاخب,elect,Vote,We elect.,Vote,Choose,Vote,elect,Vote,elect
تحمّل,withstand,"To bear, to endure",To bear / to endure / to tolerate,Bear,to bear,Bear,bear,Download,bear
كبح,restrain,To brake,restrain,Rein in,restrain,Control,restrain,Control,restrain
نما,thrive,Grow,Grow,Grow,Grow,Grow,grow,grow,sleep
عاود,echo,Repeat,Repeat,Repeat,Repeat,Repeat,repeat,Repeat,repeat
نحارف,divert,"""Nharref"" translates to ""to confuse"" in English.",We argue.,Argue,to argue,Search,argue,Search,argue
قلا,fry,"""Qella"" translates to ""he said"" in English.",cook,Say,Say,Say,say,Say,say
داب,dissolve,"""داب"" بالدارجة المغربية تعني ""to walk"" بالإنجليزية.",crawl,Walk,crawl,Walk,crawl,Go,crawl
عدّل,edit,Modify,Fix/Adjust/Modify,Modify,to modify,Modify,modify,Modify,modify
جمّع,assemble,Collect,Collect,Collect,to collect,Collect,gather,Collect,gather
خرّب,ruin,Destroy,destroy,Destroy,Destroy,Destroy,destroy,Destroy,destroy
سرّع,accelerate,Speed up,Speed up,Speed,Speed up,Speed,speed,Speed,speed
تصور,envisage,Imagine,Imagine,Imagine,Imagine,Imagine,imagine,Imagine,imagine
هنّأ,congratulate,Congratulate,Congratulate,Congratulate,congratulate,Congratulate,congratulate,Congratulate,congratulate
ستردّ,retrieve,You will reply.,You will return.,To answer,To answer,You will reply.,to return,reply,to answer
هبط,descend,Land,descend,Descend,Descend,Land,land,Land,descend
وڭّف,suspend,Wgaff,To understand,To wash,To understand,Sing,wake up,Sing,inform
جرّب,experiment,Try,Try,Try,Try,Try,try,Try,try
خلع,frighten,To take off,To remove or to take off,Take off,Take off,Take off,remove,Take off,take off
قولب,fool,Mold,mold,Mold,Mold,Say,mold,Change,mold
ألهم,inspire,Inspire,Inspire,Inspire,To inspire,Inspire,inspire,Inspire,inspire
شافا,heal,See,He saw,See,See,See,see,See,see
ضبط,master,Adjust,To adjust/fix/arrange.,Adjust,Adjust,Adjust,control,Adjust,control
كمّل,terminate,Please provide the verb in Darija so I can translate it into English.,Complete,Finish,Complete,Finish,complete,Finish,complete
عدّل,amend,Modify,Adjust,Modify,to modify,Modify,modify,Modify,modify
خدش,scratch,Scratch,To take.,Scratch,Take,Scratch,scratch,Take,take
ستلزم,entail,It will be necessary.,It will be necessary.,Require,require,Require,require,require,require
نفّد,execute,We ran out.,To exhaust/ to deplete,To run out,to exhaust,Run out,to exhaust,Run out,to exhaust
عدم,execute,Not,absence,Not,to avoid,Not,to lack,Avoid,to return
وطّد,consolidate,Strengthened,Strengthen,Strengthen,Strengthen,Strengthen,strengthen,Strengthen,strengthen
دوّر,round,Look for,Search,Search,Search,Search,search,Search,search
عزل,isolate,Isolate,Isolate,Isolate,Isolate,Isolate,isolate,Isolate,isolate
برّر,warrant,Justify,Justify,Justify,Justify,Justify,justify,Justify,justify
ضعّف,weaken,Cut in half,weaken,Weaken,weaken,Double,weaken,Double,weaken
تمشّا,march,Walk,Walk,Walk,walk,Walk,walk,Walk,walk
بغا,desire,Wants,Want,Want,want,Want,want,want,want
وسّع,widen,Expand,Expand,Expand,Expand,Expand,expand,Expand,expand
دردش,chat,Chat,Chat,Chat,Chat,Chatting,chat,Chat,chat
ركب,board,Get on,ride,Install,to ride,Install,install,Install,install
ختارع,invent,Choose,To invent,To invent,To invent,Choose,imagine,Invent,Choose
صنع,manufacture,Make,To make/produce/fabricate.,Make,To make,Make,make,Make,make
سدّ,seal,Block,block/obstruct,Block,block,Block,block,Block,block
راجع,reconsider,Review,Review,Review,review,Review,review,Review,review
مصّ,suck,To suck,Suck,Suck,Suck,Eat,suck,Drink,suck
صوّر,picture,Take a picture.,Take a picture.,Take a picture.,To take a picture,Take a picture,photograph,Take a picture,photograph
صطادم,crash,"""Staadem"" translates to ""collide"" in English.",Hunt,Collide,Collide,Collide,collide,Collide,collide
فرشخ,crash,"""Frshkh"" in Moroccan Arabic means ""to splash"" in English.",To splash,To chat,To splash,Relax,to spread,To dance,To spread
نقل,transport,Move,transfer,Move,move,Move,transfer,Move,transfer
بلوكا,plug,Block,Block,Block,Block,Block,block,Block,block
عيّن,assign,Appoint,Appoint,Appoint,appoint,Appoint,appoint,Appoint,appoint
ستفسر,inquire,Ask,You will inquire.,To ask,to inquire,Ask,inquire,تفسير,inquire
صيّد,trap,Hunt,Hunt,Hunt,hunt,Hunt,hunt,Fish,hunt
دوّر,surround,Look for,Search,Search,search,Search,search,Search,search
تناقش,debate,Discuss,discuss,Discuss,discuss,Discuss,discuss,Discuss,discuss
طوّر,upgrade,Develop,Develop,Develop,Develop,Develop,develop,Develop,develop
زيّن,decorate,Decorate,decorate,Decorate,decorate,Decorate,decorate,decorate,decorate
جمع,accumulate,Collect,Collect/ gather,Collect,to collect,Collect,to collect,Collect,to collect
ستاغلّ,profit,To work.,To work.,To work,To work,Work,work,Work,to work
ورت,inherit,"""Wrte"" doesn't have a direct translation in English. It seems to be a word in Moroccan Arabic dialect that doesn't have an equivalent in English. Can you provide more context or use it in a sentence so I can better understand its meaning and help you translate it?",To plant,To marry,To bring,Eat,bring,Eat,plant
خربق,disrupt,Knock,To flirt,Knock,To flirt,Knock,to flirt,Dance,to jump
خنق,choke,Strangle,strangle,Strangle,strangle,Choke,strangle,Suffocate,strangle
دافع,plead,Push,defend,Defend,defend,Pay,defend,Pay,defend
غمّس,dip,Dip,To immerse or to dip.,Immerse,Dive,Dip,dip,Dip,dip
شتارك,subscribe,"""Shetarek"" translates to ""to choose"" in English.",Participate,Participate,Participate,Participate,participate,Participate,participate
علّم,educate,Teach,teach,Teach,teach,Teach,teach,Teach,teach
طلّق,divorce,Divorce,divorce,Divorce,Divorce,Divorce,divorce,Divorce,divorce
غزل,spin,Flirt,flirt,Flirt,Flirt,Flirt,flirt,Flirt,flirt
شوّش,obscure,Whisper,Whisper,Whisper,Whisper,Gossip,whisper,Whisper,whisper
تسلّل,creep,Sneak,Sneak,Sneak,sneak,Sneak,sneak,Sneak,sneak
حرّف,twist,Distort,Distort,Distort,Distort,Distort,distort,Distort,distort
مزج,blend,Mix,Mix,Mix,mix,Mix,mix,Mix,mix
راجع,revise,Review,Review,Review,review,Review,review,Review,review
نسب,attribute,To attribute,To attribute,To attribute,attribute,Forget,attribute,Forget,forget
نفاجر,explode,To argue or quarrel.,We rebel.,Argue,To provoke,Argue,argue,Argue,argue
سكن,dwell,Live,To live/To reside,Live,to live,live,live,live,live
خفّف,alleviate,Lighten,Lighten,Lighten,Lighten,Lighten,lighten,Reduce,lighten
عالج,remedy,Treat,Treat,Treat,Treat,Treat,treat,Treat,treat
رشد,instruct,Guide,Grow,Guide,Grow,Grow,grow,Guide,grow
تسرّب,spill,leak,leak,Leak,leak,leak,leak,leak,leak
فهم,comprehend,Understand,Understand,Understand,understand,Understand,understand,Understand,understand
رطّب,soften,Moisturize,Moisten,Moisten,Moisten,Moisten,moisten,Moisturize,moisten
شيّر,wave,To drag,Buy,To move,To scratch,Point,sell,Move,choose
سطوكا,stock,Steal,robbery,To steal,Steal,Steal,steal,Steal,steal
وضع,position,Put,put,Put,put,Put,put,Put,put
أمّن,insure,Secure,To secure/protect.,To secure,Believe,Secure,trust,Secure,trust
نخارط,adhere,"""Nkhar9"" translates to ""we negotiate"" in English.",We draw.,To chat,To map,Play,map,Play,to participate
تشبّت,cling,Hold on,cling,Hold on,cling,Hold on,cling,Hold on,insist
ستدعا,summon,You will call.,You will invite.,To call,to call,Call,to call,Call,to call
وڭف,pause,"""وڭف"" بالدارجة المغربية تعني ""ينظر"" في اللغة الإنجليزية.",To stop,To stand,Stand,Watch,stand,Understand,stop
وقف,pause,Stop,stop,Stop,to stop,Stop,stop,Stop,stop
خوا,empty,"""Khwa"" translates to ""eat"" in English.",To want,Go,Want,Want,want,Want,want
رتّب,classify,Arrange,Arrange,Arrange,organize,Arrange,arrange,Arrange,arrange
تحمّل,afford,"To bear, to endure",To bear / to endure / to tolerate,Bear,to bear,Bear,bear,Download,bear
تسمع,sound,Listen,To hear,Listen,to hear,Listen,hear,listen,hear
نقّط,grade,We point.,To dot,To dot,to dot,dot,dot,dot,dot
رجع,revert,Come back,Return,Come back,return,Come,return,Come,return
قيّم,value,Evaluate,Evaluate,Evaluate,Evaluate,Evaluate,evaluate,Evaluate,evaluate
جازا,award,To reward.,Reward,To reward,reward,Pay,reward,reward,reward
كافح,strive,Struggle,Struggle.,Struggle,struggle,Struggle,struggle,Struggle,struggle
بلّغ,notify,Inform,To inform/notify.,Inform,to inform,Reach,reach,report,inform
طفا,turn off,Turn off,Turn off,Turn off,Turn off,Turn off,turn off,Turn off,turn off
ريّح,sit down,Relax,Wind,To relax,To smell,Wind,smell,Relax,smell
غش,cheat,cheat,cheat,Cheating,Cheat,Cheating,cheat,Cheating,cheat
قشّر,peel,Peel,Peel,Peel,Peel,Peel,peel,Peel,peel
